iter	Passed	Remaining
0	1	1293
1	3	1521
2	4	1517
3	5	1380
4	6	1305
5	7	1250
6	8	1220
7	9	1200
8	10	1180
9	11	1165
10	12	1148
11	13	1136
12	14	1119
13	15	1108
14	17	1125
15	18	1153
16	20	1169
17	21	1157
18	22	1144
19	23	1132
20	24	1120
21	25	1149
22	26	1145
23	27	1134
24	28	1127
25	29	1123
26	30	1114
27	32	1111
28	33	1117
29	34	1111
30	35	1104
31	36	1099
32	37	1094
33	38	1087
34	39	1088
35	40	1085
36	41	1085
37	42	1087
38	43	1082
39	45	1080
40	46	1094
41	49	1135
42	50	1131
43	51	1127
44	52	1124
45	54	1124
46	55	1117
47	56	1113
48	57	1106
49	57	1100
50	58	1095
51	59	1091
52	60	1085
53	61	1084
54	63	1090
55	64	1095
56	65	1089
57	66	1082
58	67	1081
59	68	1076
60	69	1069
61	70	1063
62	71	1058
63	71	1052
64	72	1045
65	73	1039
66	74	1034
67	75	1029
68	76	1027
69	77	1029
70	79	1033
71	79	1030
72	80	1026
73	82	1028
74	83	1026
75	84	1021
76	84	1016
77	85	1011
78	86	1005
79	86	1000
80	87	996
81	88	991
82	88	982
83	89	978
84	90	976
85	92	978
86	93	984
87	94	982
88	95	979
89	96	976
90	97	974
91	98	972
92	99	971
93	100	968
94	101	967
95	102	965
96	103	964
97	104	962
98	105	963
99	107	969
100	108	969
101	110	969
102	111	967
103	112	964
104	112	962
105	113	960
106	114	958
107	115	957
108	116	956
109	117	954
110	119	953
111	120	952
112	122	960
113	124	964
114	124	961
115	125	959
116	126	956
117	127	955
118	128	954
119	129	952
120	130	951
121	131	948
122	132	945
123	133	944
124	134	943
125	136	945
126	138	950
127	140	956
128	141	956
129	142	954
130	143	952
131	144	950
132	145	949
133	146	948
134	147	947
135	148	946
136	150	947
137	151	949
138	153	950
139	154	949
140	155	947
141	156	943
142	157	941
143	158	940
144	159	938
145	160	936
146	161	934
147	161	932
148	162	930
149	163	928
150	165	930
151	167	932
152	168	931
153	169	930
154	170	929
155	171	928
156	172	926
157	173	923
158	174	921
159	175	919
160	175	915
161	176	913
162	177	911
163	178	910
164	180	911
165	181	913
166	183	913
167	184	912
168	185	911
169	186	909
170	187	908
171	188	905
172	189	903
173	189	901
174	191	901
175	192	899
176	193	897
177	193	895
178	195	895
179	196	896
180	198	895
181	199	894
182	199	892
183	200	890
184	201	887
185	202	886
186	203	884
187	204	882
188	205	882
189	206	881
190	207	880
191	208	879
192	210	880
193	212	881
194	213	879
195	214	878
196	215	877
197	216	876
198	217	874
199	218	874
200	219	872
201	220	871
202	221	870
203	222	869
204	227	880
205	228	881
206	229	880
207	231	879
208	232	879
209	233	877
210	234	876
211	235	875
212	236	874
213	237	873
214	239	875
215	241	876
216	242	876
217	243	874
218	244	872
219	246	872
220	248	874
221	250	878
222	252	878
223	253	877
224	255	881
225	259	887
226	260	887
227	261	887
228	263	885
229	264	884
230	265	883
231	266	882
232	267	881
233	269	883
234	271	882
235	274	888
236	276	888
237	277	887
238	279	889
239	280	888
240	281	887
241	284	889
242	302	941
243	304	944
244	306	943
245	307	940
246	308	939
247	309	937
248	310	935
249	311	933
250	311	930
251	314	933
252	319	942
253	321	944
254	323	943
255	324	942
256	325	940
257	326	939
258	327	937
259	330	940
260	334	947
261	335	946
262	336	943
263	337	941
264	338	939
265	339	937
266	340	935
267	341	932
268	342	931
269	344	930
270	346	933
271	355	951
272	356	949
273	357	947
274	359	948
275	364	955
276	366	956
277	368	956
278	369	955
279	371	954
280	376	962
281	380	968
282	381	967
283	383	967
284	385	967
285	387	968
286	393	976
287	395	978
288	397	978
289	398	976
290	400	975
291	401	973
292	411	993
293	413	992
294	414	990
295	415	989
296	416	986
297	419	987
298	421	987
299	426	994
300	428	995
301	429	993
302	431	991
303	432	989
304	437	997
305	441	1000
306	442	999
307	444	998
308	447	1000
309	450	1003
310	453	1004
311	454	1003
312	457	1003
313	465	1016
314	467	1016
315	469	1015
316	471	1015
317	477	1024
318	481	1027
319	482	1025
320	484	1024
321	485	1022
322	486	1019
323	488	1020
324	493	1025
325	496	1025
326	497	1023
327	498	1022
328	500	1020
329	502	1019
330	504	1020
331	509	1025
332	511	1023
333	512	1021
334	513	1019
335	514	1016
336	515	1014
337	517	1014
338	520	1014
339	523	1016
340	525	1015
341	526	1013
342	529	1014
343	530	1011
344	532	1011
345	534	1011
346	539	1015
347	541	1013
348	542	1011
349	543	1010
350	544	1007
351	545	1004
352	548	1005
353	553	1009
354	554	1008
355	556	1006
356	557	1003
357	558	1001
358	559	999
359	560	996
360	562	995
361	568	1001
362	570	1000
363	571	997
364	572	995
365	573	993
366	574	990
367	575	988
368	577	986
369	582	991
370	584	991
371	585	988
372	586	986
373	588	984
374	589	981
375	589	979
376	591	978
377	593	977
378	597	978
379	598	976
380	599	973
381	600	971
382	601	968
383	601	965
384	602	962
385	603	960
386	604	958
387	608	959
388	612	962
389	614	960
390	615	958
391	616	956
392	618	954
393	619	952
394	622	953
395	628	958
396	630	958
397	631	955
398	633	953
399	634	951
400	644	962
401	645	960
402	647	959
403	648	957
404	650	955
405	652	955
406	654	953
407	657	954
408	659	953
409	661	951
410	662	949
411	663	946
412	664	944
413	665	941
414	667	940
415	669	939
416	673	941
417	674	939
418	676	937
419	677	935
420	678	933
421	679	930
422	680	928
423	689	936
424	692	936
425	693	934
426	696	934
427	705	943
428	706	940
429	708	938
430	709	936
431	710	934
432	713	933
433	717	935
434	718	933
